sort,SUBJECT,SESSION,File,TIME_WINDOW,GENDER,PEAK,ELEC,COND_NUM,evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
11,5,4,sub-05jwxf_task-lexdec_run-004,2,1,9.473494,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,9.72896,05jwxf,eeg001,lexdec,4,
12,6,1,sub-06pppm_task-lexdec_run-001,2,2,2.7367939999999997,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,3.3428454999999992,06pppm,eeg001,lexdec,1,
12,6,1,sub-06pppm_task-lexdec_run-001,2,2,2.483631,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,2.5392028333333334,06pppm,eeg001,lexdec,1,
12,6,1,sub-06pppm_task-lexdec_run-001,2,2,3.5479529999999997,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,3.4660958333333336,06pppm,eeg001,lexdec,1,
12,6,1,sub-06pppm_task-lexdec_run-001,2,2,3.9071089999999997,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,4.658212,06pppm,eeg001,lexdec,1,
12,6,1,sub-06pppm_task-lexdec_run-001,2,2,4.2538599999999995,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,4.099144,06pppm,eeg001,lexdec,1,
12,6,1,sub-06pppm_task-lexdec_run-001,2,2,6.003116,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,8.125424,06pppm,eeg001,lexdec,1,
13,6,2,sub-06pppm_task-lexdec_run-002,2,2,4.19495,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,4.696995833333333,06pppm,eeg001,lexdec,2,
13,6,2,sub-06pppm_task-lexdec_run-002,2,2,4.025087,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,4.2807845,06pppm,eeg001,lexdec,2,
13,6,2,sub-06pppm_task-lexdec_run-002,2,2,5.230275,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,6.163753333333333,06pppm,eeg001,lexdec,2,
13,6,2,sub-06pppm_task-lexdec_run-002,2,2,4.439065,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,5.783205666666667,06pppm,eeg001,lexdec,2,
13,6,2,sub-06pppm_task-lexdec_run-002,2,2,7.240492,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,7.780450666666667,06pppm,eeg001,lexdec,2,
13,6,2,sub-06pppm_task-lexdec_run-002,2,2,7.652369,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,10.875299,06pppm,eeg001,lexdec,2,
14,6,3,sub-06pppm_task-lexdec_run-003,2,2,1.7377639999999999,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,2.462905333333333,06pppm,eeg001,lexdec,3,
14,6,3,sub-06pppm_task-lexdec_run-003,2,2,2.137347,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,2.2329321666666666,06pppm,eeg001,lexdec,3,
14,6,3,sub-06pppm_task-lexdec_run-003,2,2,4.203692,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,5.205130666666666,06pppm,eeg001,lexdec,3,
14,6,3,sub-06pppm_task-lexdec_run-003,2,2,3.1700470000000003,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,5.283961166666667,06pppm,eeg001,lexdec,3,
14,6,3,sub-06pppm_task-lexdec_run-003,2,2,6.462791999999999,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,6.839722833333334,06pppm,eeg001,lexdec,3,
14,6,3,sub-06pppm_task-lexdec_run-003,2,2,5.961,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,9.173431333333333,06pppm,eeg001,lexdec,3,
15,6,4,sub-06pppm_task-lexdec_run-004,2,2,4.115582,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,4.041343,06pppm,eeg001,lexdec,4,
15,6,4,sub-06pppm_task-lexdec_run-004,2,2,3.6321760000000003,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,3.5984251666666665,06pppm,eeg001,lexdec,4,
15,6,4,sub-06pppm_task-lexdec_run-004,2,2,4.166714,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,4.7170103333333335,06pppm,eeg001,lexdec,4,
15,6,4,sub-06pppm_task-lexdec_run-004,2,2,3.6059449999999997,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,5.18842,06pppm,eeg001,lexdec,4,
