set0,evoked0,quest0,cond0,chan1,later0,coron0,tmin0,class0,mode0,type0,subj0,runn0,nave0,latX,valX
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,10mczf,0,,,1.2822542499999998
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,11kbxm,0,,,2.1232805
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,12jnxf,0,,,1.1640747500000004
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,13jsxm,0,,,-0.5658100000000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,14ktxf,0,,,2.51008325
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,16olxm,0,,,-0.3634512499999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,18skxm,0,,,0.3512925
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,19jgxf,0,,,0.4476884999999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,20jpxf,0,,,4.585018000000002
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,21koxf,0,,,4.63203675
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,22foxm,0,,,2.6933925
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,23zdxf,0,,,2.7801352500000003
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,25abxf,0,,,2.5062945
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,27mwxf,0,,,1.36229225
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,28pmsf,0,,,0.07328375000000015
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,29jjxf,0,,,2.30376925
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,30mszf,0,,,4.30198525
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,32mjxf,0,,,2.05553825
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,34gsxm,0,,,0.5934244999999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,35mwxm,0,,,0.92161025
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,36rwxm,0,,,1.1823405
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,38slxm,0,,,1.567179
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,39mrxm,0,,,1.36728775
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,40asxm,0,,,-0.71444825
